PN结 PN接面
SQL注入 SQL隱碼攻擊
SQL注入攻击 SQL隱碼攻擊
U盘 隨身碟
pn结 pn接面
sql注入 sql隱碼攻擊
sql注入攻击 sql隱碼攻擊
u盘 隨身碟
三极管 三極體
下拉列表 下拉選單
并行计算 平行計算
中间件 中介軟體
串口 串列埠
串行 序列
串行端口 串列埠
主引导记录 主開機記錄
主板 主機板
二极管 二極體
互联网 網際網路
交互 互動
交互式 互動式
人工智能 人工智慧
代码 程式碼
代码页 內碼表
以太网 乙太網
任务栏 工作列
任务管理器 工作管理員
仿真 模擬
位图 點陣圖
低级 低階
便携式 行動式
保存 儲存
信噪比 訊雜比
信息 資訊
信息安全 資訊保安
信息技术 資訊科技
信息论 資訊理論
信号 訊號
信道 通道
传感 感測
像素 畫素
伪代码 虛擬碼
优先级 優先順序
优化 最佳化
元数据 後設資料
元编程 超程式設計
光标 游標
光盘 光碟
光驱 光碟機
免提 擴音
内存 記憶體
内核 核心
内置 內建
内联函数 行內函數
全局 全域性
全角 全形
兼容 相容
冒泡排序 氣泡排序
函数 函式
函数式编程 函數語言程式設計
刀片服务器 刀鋒伺服器
分布式 分散式
分区 分割槽
分辨率 解析度
刷新 重新整理
刻录 燒錄
前缀 字首
剪切 剪下
剪贴板 剪貼簿
创建 建立
加载 載入
半角 半形
博客 部落格
卸载 解除安裝
原代码 原始碼
参数 引數
参数表 參數列
句柄 控制代碼
可视化 視覺化
呼出 撥出
呼叫转移 來電轉駁
命令式编程 指令式程式設計
命令行 命令列
命名空间 名稱空間
哈希 雜湊
单片机 微控制器
回调 回撥
固件 韌體
图像 影象
图库 相簿
图标 圖示
在线 線上
地址 地址
地址栏 位址列
城域网 都會網路
堆栈 堆疊
场效应管 場效電晶體
壁纸 桌布
外置 外接
外键 外來鍵
多任务 多工
多态 多型
多线程 多執行緒
字库 字型檔
字段 欄位
字符 字元
字符串 字串
字符集 字符集
字节 位元組
字体 字型
存储 儲存
存盘 存檔
宏 宏
宏内核 單核心
寄存器 暫存器
密钥 金鑰
实例 例項
实模式 真實模式
审核 稽覈
写保护 防寫
宽带 寬頻
寻址 定址
对话框 對話方塊
对象 物件
导入 匯入
导出 匯出
局域网 區域網
局部 區域性
屏幕 螢幕
屏蔽 遮蔽
嵌套 巢狀
布尔 布林
带宽 頻寬
